CID,FST_USE_DT
CID0380016,20161022
CID0373023,20161022
CID0332693,20161025
CID0137708,20161025
CID0314853,20161123
CID0358058,20161029
CID0353586,20161112
CID0344093,20161026
CID0047492,20161026
CID0183316,20161027
CID0035753,20161027
CID0181610,20161022
CID0022925,20161022
CID0027734,20161022
CID0386008,20161022
CID0127161,20161025
CID0219382,20161021
CID0190678,20161022
CID0223851,20161022
CID0073175,20161022
CID0108364,20161025
CID0132826,20161022
CID0387294,20161130
CID0257684,20161130
CID0381360,20161129
CID0246887,20161130
CID0139229,20161130
CID0031343,20161130
CID0373431,20161129
CID0196429,20161129
CID0261234,20150824
CID0064360,20150825
CID0151168,20150821
CID0180851,20150826
CID0269799,20150824
CID0224232,20150824
CID0130634,20150821
CID0033150,20150820
CID0288399,20150824
CID0087082,20150824
CID0137064,20150821
CID0116016,20150821
CID0140431,20150826
CID0052250,20150821
CID0345405,20150820
CID0290238,20150826
CID0272017,20150825
CID0011235,20150824
CID0036586,20150821
CID0250926,20150821
CID0257958,20150825
CID0037970,20150821
CID0177790,20150825
CID0086274,20150825
CID0337575,20150826
CID0346015,20150826
CID0288791,20150826
CID0160362,20150824
CID0178712,20150824
CID0373597,20150824
CID0077561,20150824
CID0018729,20150826
CID0251177,20150826
CID0025143,20150825
CID0103756,20150824
CID0025912,20150826
CID0036201,20150827
CID0099405,20150825
CID0197773,20150820
CID0185366,20150824
CID0090568,20150821
CID0362314,20150824
CID0361825,20150825
CID0176535,20150826
CID0132988,20150720
CID0318627,20150720
CID0108393,20150721
CID0264010,20150721
CID0115976,20150721
CID0226677,20150720
CID0131449,20150722
CID0195677,20150717
CID0078682,20150724
CID0235837,20150717
CID0121579,20151014
CID0201972,20151012
CID0025046,20151012
CID0084277,20151005
CID0191043,20151013
CID0179714,20151017
CID0359070,20151007
CID0231495,20151009
CID0314528,20151008
CID0212198,20151015
CID0229021,20151014
CID0250065,20151013
CID0332261,20151010
CID0338178,20151015
CID0347591,20151011
CID0065905,20151011
CID0268431,20151012
CID0378418,20150928
CID0340287,20150929
CID0340362,20151015
CID0035177,20151011
CID0041948,20151011
CID0383290,20150928
CID0348721,20151011
CID0001898,20151013
CID0201385,20151010
CID0354093,20151011
CID0206633,20151014
CID0165609,20151016
CID0079593,20151013
CID0261077,20151013
CID0129922,20151014
CID0005501,20151008
CID0225212,20150826
CID0310861,20150902
CID0366304,20150824
CID0129019,20150826
CID0340686,20150825
CID0028634,20150828
CID0289390,20150826
CID0295500,20150826
CID0219438,20150825
CID0084680,20150824
CID0130429,20150821
CID0056253,20150826
CID0021762,20150819
CID0153831,20150824
CID0221796,20150826
CID0166413,20150825
CID0250456,20150824
CID0274400,20150825
CID0352314,20150824
CID0286737,20150821
CID0347228,20150821
CID0045140,20150824
CID0192420,20150824
CID0208833,20150824
CID0018223,20150820
CID0148670,20150821
CID0272730,20150826
CID0368829,20150825
CID0360734,20150824
CID0016165,20150824
CID0283534,20150824
CID0077633,20150820
CID0387281,20150825
CID0214634,20150825
CID0101421,20150828
CID0130370,20150826
CID0030476,20151013
CID0077716,20151013
CID0202966,20151015
CID0202207,20151016
CID0309819,20151009
CID0073595,20160625
CID0149354,20160625
CID0040471,20160624
CID0196100,20160625
CID0298877,20160625
CID0280752,20160624
CID0371545,20160625
CID0138935,20160625
CID0316374,20160624
CID0041279,20160625
CID0066500,20160624
CID0156237,20160625
CID0037762,20160624
CID0364880,20160625
CID0361662,20160624
CID0059224,20160624
CID0136619,20160624
CID0370462,20160624
CID0101849,20160624
CID0386030,20160625
CID0001076,20160625
CID0064484,20160624
CID0366391,20160625
CID0327874,20160624
CID0276857,20160625
CID0207451,20160521
CID0346648,20160521
CID0102800,20160524
CID0070341,20160525
CID0151637,20160525
CID0166305,20160524
CID0101475,20160525
CID0326902,20160521
CID0206201,20160524
CID0289688,20160525
CID0211944,20160524
CID0362111,20160524
CID0110064,20160520
CID0347618,20160524
CID0025190,20160526
CID0137283,20160520
CID0052079,20160520
CID0115810,20160525
CID0173655,20160524
CID0329446,20160524
CID0006108,20160525
CID0177409,20160521
CID0295864,20160524
CID0187991,20160524
CID0312457,20160524
CID0180193,20160520
CID0239988,20160524
CID0181051,20160521
CID0246260,20160520
CID0130886,20160527
CID0347636,20160525
CID0349469,20160524
CID0021321,20160520
CID0057974,20160526
CID0365504,20160525
CID0136125,20160524
CID0289546,20160522
CID0315337,20161010
CID0372246,20161009
CID0337695,20161009
CID0092999,20160521
CID0132672,20160527
CID0137725,20160722
CID0230920,20160722
CID0256456,20160721
CID0040032,20161009
CID0041773,20161009
CID0024582,20161009
CID0155346,20160722
CID0194117,20160721
CID0382111,20160722
CID0320404,20160722
CID0233181,20160722
CID0198577,20160720
CID0253324,20160722
CID0259543,20160720
CID0088838,20160721
CID0210343,20160719
CID0245246,20160722
CID0372932,20160720
CID0287098,20160722
CID0103775,20160722
CID0136129,20160720
CID0336250,20160722
CID0047503,20160721
CID0185279,20161009
CID0054209,20161001
CID0132329,20161009
CID0179857,20161001
CID0240571,20161001
CID0383482,20161001
CID0312831,20160721
CID0211764,20160722
CID0292353,20160721
CID0209142,20160722
CID0239081,20160722
CID0013628,20160723
CID0015007,20160722
CID0232578,20160722
CID0123492,20160722
CID0175376,20160723
CID0137036,20160722
CID0382962,20160720
CID0369366,20161009
CID0345799,20161010
CID0319420,20161011
CID0347812,20161009
CID0182914,20160720
CID0022162,20160720
CID0320593,20160726
CID0279285,20160720
CID0290561,20160720
CID0124663,20160720
CID0192612,20160719
CID0156067,20160722
CID0075018,20160726
CID0302957,20160723
CID0141968,20160722
CID0317594,20160727
CID0184758,20160722
CID0290360,20160720
CID0087003,20160720
CID0051129,20170915
CID0304742,20170915
CID0218484,20170105
CID0230845,20170105
CID0064218,20170105
CID0286115,20170105
CID0100584,20170105
CID0206681,20170105
CID0061757,20170106
CID0119492,20170106
CID0201970,20170106
CID0107759,20170106
CID0138198,20170110
CID0239248,20170106
CID0319144,20161124
CID0111421,20161201
CID0190735,20161124
CID0216063,20161125
CID0028711,20161127
CID0205565,20170914
CID0373454,20170914
CID0007759,20170914
CID0178208,20170919
CID0045442,20170916
CID0150156,20170921
CID0316040,20170915
CID0373315,20170916
CID0356816,20170913
CID0026242,20170915
CID0233539,20170914
CID0215707,20170916
CID0043462,20170916
CID0284343,20170915
CID0122042,20170107
CID0351458,20170107
CID0195859,20170110
CID0025923,20170116
CID0173449,20170111
CID0302689,20170107
CID0318505,20170105
CID0341230,20170106
CID0017472,20161129
CID0160600,20161202
CID0127149,20161202
CID0160803,20161201
CID0125841,20161201
CID0249192,20161201
CID0286361,20161201
CID0169415,20161201
CID0219403,20161130
CID0137991,20161206
CID0300529,20170831
CID0031506,20170830
CID0321348,20170831
CID0170781,20170831
CID0096542,20170831
CID0281311,20170831
CID0350571,20170901
CID0097930,20170919
CID0102121,20170916
CID0051040,20170916
CID0183043,20170920
CID0161351,20170106
CID0199990,20170106
CID0014464,20170106
CID0019708,20170106
CID0196835,20170107
CID0182072,20161201
CID0375520,20161202
CID0204312,20161206
CID0111880,20161201
CID0027221,20161201
CID0005030,20161201
CID0207072,20161124
CID0160251,20170914
CID0062636,20170914
CID0373343,20170916
CID0027759,20170914
CID0004388,20170915
CID0208992,20170914
CID0101874,20170914
CID0362243,20170914
CID0162193,20170914
CID0301857,20170914
CID0158205,20170914
CID0121600,20170914
CID0029319,20170912
CID0065546,20170914
CID0225578,20170914
CID0064483,20170916
CID0031136,20170913
CID0198847,20170914
CID0131795,20170914
CID0365931,20170916
CID0368589,20170923
CID0065156,20170914
CID0139511,20170914
CID0203732,20170916
CID0259179,20170914
CID0082086,20170915
CID0086461,20170914
CID0161119,20170913
CID0022807,20170914
CID0257564,20170914
CID0324608,20170916
CID0002464,20170916
CID0160330,20170915
CID0349109,20170919
CID0208404,20170916
CID0081363,20170915
CID0189326,20170920
CID0257018,20170916
CID0153106,20170915
CID0299995,20170914
CID0042465,20170915
CID0076829,20170916
CID0366703,20170915
CID0061627,20170919
CID0053627,20170105
CID0235265,20170105
CID0050986,20170111
CID0290786,20170105
CID0195755,20161207
CID0168382,20161202
CID0138876,20161203
CID0219484,20161203
CID0177386,20161202
CID0137045,20170125
CID0186272,20170126
CID0091405,20161129
CID0166378,20161129
CID0340887,20161115
CID0141578,20161116
CID0033778,20161116
CID0145078,20161028
CID0176295,20161026
CID0244619,20161025
CID0219617,20161022
CID0107890,20161022
CID0027800,20161022
CID0086853,20161022
CID0186491,20161117
CID0088031,20161116
CID0083210,20161116
CID0223980,20161117
CID0194888,20161118
CID0230884,20161116
CID0021522,20161116
CID0340681,20161022
CID0364855,20161022
CID0246217,20161022
CID0160622,20161026
CID0121764,20161022
CID0196921,20161022
CID0022181,20161022
CID0137130,20161025
CID0234866,20161022
CID0099169,20170314
CID0109876,20170308
CID0386744,20170315
CID0211878,20170310
CID0012690,20170309
CID0337303,20170317
CID0129987,20170310
CID0032974,20170311
CID0184865,20170310
CID0069444,20170310
CID0287650,20170309
CID0216053,20170310
CID0276598,20170310
CID0185336,20170310
CID0303546,20170310
CID0347098,20170314
CID0258734,20170311
CID0382910,20170310
CID0097715,20170310
CID0383902,20170308
CID0331767,20161027
CID0205986,20161027
CID0212179,20161022
CID0222533,20161022
CID0354403,20161022
CID0326421,20161022
CID0038751,20161117
CID0351998,20161117
CID0061395,20161116
CID0307179,20161118
CID0140226,20161116
CID0076896,20161116
CID0191201,20161116
CID0009211,20161116
CID0049684,20161115
CID0088521,20161022
CID0124911,20161022
CID0120690,20161025
CID0178419,20161022
CID0204247,20161022
CID0350700,20161022
CID0217611,20161025
CID0216526,20161022
CID0315499,20161025
CID0196192,20170308
CID0381761,20170307
CID0104305,20170308
CID0201501,20170308
CID0024866,20170309
CID0241703,20170308
CID0112366,20170308
CID0261738,20170308
CID0097056,20170307
CID0258974,20161116
CID0310578,20161116
CID0244463,20161117
CID0311934,20161117
CID0286762,20161116
CID0284498,20161116
CID0372900,20161117
CID0070083,20161116
CID0160747,20161116
CID0007515,20161117
CID0218130,20161116
CID0128922,20161116
CID0023712,20161117
CID0024050,20161117
CID0037133,20161025
CID0027539,20161022
CID0023070,20161022
CID0125832,20161027
CID0231397,20161028
CID0041339,20161026
CID0095947,20161027
CID0266161,20161022
CID0250858,20161021
CID0325008,20161022
CID0140720,20161022
CID0056649,20161022
CID0351807,20161022
CID0272538,20161022
CID0208995,20161022
CID0217274,20170309
CID0050836,20170310
CID0091016,20170310
CID0121575,20170310
CID0176489,20170310
CID0364172,20170311
CID0369039,20170310
CID0195696,20161118
CID0345142,20161118
CID0254905,20161117
CID0386555,20161117
CID0083423,20161118
CID0139318,20161116
CID0261811,20161118
CID0195079,20161118
CID0133988,20161117
CID0015233,20170308
CID0386657,20170309
CID0199844,20170309
CID0184886,20170311
CID0298902,20151012
CID0018872,20151009
CID0273196,20151017
CID0309240,20150930
CID0015925,20150929
CID0013840,20150929
CID0323630,20150929
CID0012682,20151009
CID0055556,20151010
CID0038204,20151014
CID0047740,20151009
CID0164044,20151015
CID0014340,20151009
CID0033113,20151022
CID0028489,20151008
CID0006413,20150928
CID0337384,20151013
CID0365696,20151010
CID0312706,20151012
CID0121569,20151008
CID0043567,20150930
CID0100226,20151009
CID0101552,20150928
CID0347275,20151012
CID0132416,20151012
CID0112044,20151016
CID0216728,20151008
CID0165698,20150807
CID0155690,20150807
CID0337716,20150806
CID0167014,20150807
CID0255676,20150807
CID0254599,20150811
CID0096856,20150924
CID0057002,20150924
CID0286509,20150924
CID0303166,20150925
CID0059095,20150930
CID0178770,20150925
CID0155826,20150929
CID0195822,20150922
CID0095146,20150929
CID0387141,20150924
CID0070407,20150925
CID0298768,20150928
CID0021789,20150924
CID0052106,20151008
CID0289956,20150921
CID0337881,20150924
CID0342941,20150924
CID0165849,20150924
CID0057721,20150924
CID0235129,20150924
CID0337209,20150925
CID0040310,20150925
CID0348942,20150924
CID0089073,20150923
CID0275222,20150924
CID0042720,20150920
CID0326861,20150922
CID0310151,20150925
CID0068107,20150928
CID0058876,20150922
CID0138684,20150925
CID0047946,20150925
CID0208554,20150920
CID0213226,20150920
CID0250005,20150929
CID0334983,20150929
CID0039064,20150925
CID0073128,20150928
CID0227540,20150925
CID0357986,20150925
CID0206205,20150924
CID0327147,20150923
CID0121655,20150925
CID0130017,20150923
CID0182209,20150920
CID0179915,20150925
CID0304770,20150925
CID0027278,20150924
CID0084362,20150928
CID0195381,20150930
CID0126788,20150929
CID0248165,20150929
CID0007658,20150920
CID0255910,20150924
CID0355837,20150929
CID0372130,20150928
CID0094327,20150924
CID0061477,20150921
CID0370713,20150924
CID0365798,20150924
CID0272110,20150929
CID0186490,20150925
CID0260659,20151013
CID0322108,20150930
CID0149219,20151013
CID0121363,20151004
CID0347261,20151001
CID0354854,20151007
CID0362081,20151012
CID0234087,20151014
CID0383771,20151016
CID0237364,20151012
CID0085536,20151009
CID0201523,20151008
CID0368577,20151015
CID0263432,20151013
CID0167930,20151010
CID0333895,20151014
CID0324405,20151015
CID0260886,20151013
CID0318515,20151013
CID0233109,20151014
CID0106545,20151016
CID0330961,20151013
CID0303025,20151013
CID0367411,20151011
CID0302933,20151010
CID0325635,20151011
CID0338486,20151007
CID0223234,20150930
CID0102012,20151012
CID0053713,20150930
CID0238566,20150930
CID0315922,20151013
CID0245325,20151009
CID0207043,20151012
CID0045789,20151010
CID0029190,20160721
CID0198353,20160720
CID0055264,20160624
CID0028777,20160625
CID0297049,20160624
CID0083351,20160624
CID0033639,20160624
CID0341248,20160624
CID0148228,20160624
CID0051280,20160624
CID0312852,20161001
CID0062455,20161001
CID0226862,20161009
CID0054257,20161009
CID0116692,20161009
CID0114985,20161001
CID0242498,20161011
CID0184481,20161009
CID0153689,20161001
CID0340882,20161011
CID0187061,20161001
CID0037578,20161001
CID0346114,20161001
CID0060950,20161001
CID0265822,20161001
CID0240646,20160930
CID0044901,20160625
CID0087491,20160624
CID0212919,20160624
CID0321467,20160628
CID0047154,20160624
CID0370380,20160625
CID0236379,20160624
CID0079238,20160625
CID0128409,20160622
CID0084127,20160625
CID0203403,20160624
CID0093693,20160624
CID0259920,20160625
CID0287129,20160624
CID0064597,20160629
CID0287022,20160628
CID0326828,20160624
CID0378846,20160624
CID0155849,20160720
CID0156885,20160719
CID0186916,20160722
CID0056013,20160722
CID0349652,20160723
CID0368499,20160723
CID0189406,20160722
CID0266445,20160721
CID0034012,20160722
CID0025030,20160722
CID0344821,20160723
CID0182889,20160722
CID0218319,20160723
CID0091190,20160722
CID0170380,20160723
CID0141706,20160723
CID0264355,20160723
CID0236822,20160722
CID0053591,20160726
CID0286192,20160722
CID0091530,20160723
CID0045419,20160722
CID0383780,20160722
CID0155580,20160723
CID0092533,20160723
CID0107314,20160721
CID0262977,20160720
CID0301921,20160723
CID0308522,20160727
CID0297325,20160722
CID0044478,20160722
CID0198843,20160722
CID0229445,20160723
CID0063702,20160722
CID0014961,20160722
CID0365672,20160721
CID0117228,20160721
CID0066516,20160720
CID0163137,20160721
CID0365432,20160719
CID0066985,20160720
CID0376905,20160723
CID0374490,20160722
CID0087834,20160721
CID0043409,20160722
CID0255652,20160719
CID0177965,20160817
CID0375909,20160816
CID0254051,20160816
CID0142200,20160816
CID0139959,20160817
CID0354778,20160816
CID0029507,20160816
CID0221066,20160816
CID0359693,20160816
CID0353127,20160816
CID0293523,20160816
CID0326356,20160721
CID0149641,20160719
CID0346078,20160720
CID0187071,20160720
CID0211232,20160721
CID0210762,20160723
CID0047738,20160723
CID0346775,20160722
CID0303516,20160722
CID0320037,20160722
CID0322673,20160720
CID0241510,20160723
CID0045476,20160720
CID0070429,20160721
CID0048763,20160721
CID0140900,20160720
CID0235213,20160720
CID0274330,20160722
CID0146172,20160722
CID0105714,20160722
CID0361794,20160816
CID0339208,20160817
CID0342921,20160817
CID0322326,20160816
CID0190090,20160816
CID0036100,20160816
CID0330612,20160816
CID0026824,20160816
CID0317428,20170125
CID0140032,20170123
CID0140474,20170123
CID0169396,20170123
CID0059784,20170125
CID0273364,20170125
CID0001034,20170123
CID0364333,20170121
CID0172198,20170123
CID0096650,20170123
CID0151009,20170123
CID0260914,20170123
CID0087524,20170123
CID0382585,20161208
CID0290805,20161210
CID0312695,20161202
CID0208343,20161206
CID0057793,20161206
CID0160010,20170106
CID0067985,20170110
CID0333539,20170117
CID0273908,20170110
CID0242336,20170111
CID0027970,20161208
CID0334512,20161208
CID0350138,20161208
CID0376761,20161213
CID0203425,20161214
CID0319632,20161213
CID0085177,20161216
CID0237726,20161203
CID0219212,20170916
CID0279971,20170916
CID0312140,20170830
CID0006798,20170831
CID0372774,20170831
CID0202663,20170901
CID0345647,20170831
CID0056747,20170901
CID0124888,20170901
CID0198598,20170831
CID0060744,20170830
CID0023916,20170916
CID0197953,20170831
CID0073866,20170901
CID0384006,20170901
CID0295144,20170831
CID0198074,20170106
CID0299627,20170107
CID0306612,20170107
CID0063832,20170107
CID0360718,20170110
CID0107701,20170106
CID0058594,20170111
CID0232177,20170106
CID0161222,20161203
CID0093640,20161203
CID0326803,20161206
CID0297959,20161203
CID0258449,20161206
CID0211678,20161203
CID0306345,20161203
CID0184760,20161203
CID0298055,20161206
CID0366867,20161203
CID0011573,20161203
CID0162464,20161208
CID0354271,20161207
CID0081500,20161210
CID0118708,20161210
CID0352119,20161213
CID0228660,20161208
CID0306988,20161209
CID0164289,20161207
CID0040246,20161208
CID0381280,20170916
CID0002270,20170915
CID0026400,20170915
CID0290181,20170915
CID0354558,20170919
CID0305666,20170916
CID0010116,20170914
CID0084779,20170915
CID0260750,20170916
CID0350461,20170915
CID0086198,20170914
CID0047435,20170915
CID0169723,20170913
CID0001250,20170915
CID0018298,20170913
CID0330401,20170125
CID0333437,20170126
CID0037050,20170915
CID0120533,20170915
CID0309762,20170915
CID0216541,20170916
CID0259305,20170916
CID0075885,20170914
CID0134080,20170916
CID0356786,20170915
CID0375281,20170916
CID0087768,20170916
CID0301465,20170916
CID0257943,20170916
CID0237562,20170916
CID0112719,20170916
CID0071088,20170105
CID0101091,20170106
CID0336000,20170106
CID0308326,20170107
CID0112897,20170112
CID0275028,20170106
CID0044586,20170105
CID0116513,20161202
CID0086010,20161203
CID0200016,20161202
CID0276576,20161203
CID0345445,20161203
CID0215711,20161208
CID0081234,20161209
CID0316966,20170121
CID0045813,20170123
CID0355681,20170105
CID0220732,20170106
CID0286916,20170107
CID0037897,20170106
CID0261986,20170107
CID0310337,20170110
CID0145600,20170107
CID0028159,20170315
CID0118392,20170308
CID0059735,20170308
CID0028425,20170310
CID0218520,20170309
CID0325669,20170308
CID0007027,20161116
CID0101939,20161116
CID0381838,20161116
CID0220681,20161115
CID0349089,20161116
CID0195770,20161118
CID0299982,20161116
CID0101507,20161116
CID0072594,20161116
CID0285142,20161118
CID0302774,20161117
CID0154681,20161117
CID0130063,20161118
CID0065798,20161118
CID0033843,20161117
CID0312336,20161117
CID0216812,20161117
CID0136815,20161101
CID0113787,20161022
CID0321998,20170119
CID0214531,20161116
CID0137542,20161117
CID0248557,20161115
CID0388224,20161117
CID0060527,20161116
CID0079687,20161115
CID0222266,20170119
CID0113534,20170119
CID0069916,20170119
CID0351886,20170120
CID0144117,20170118
CID0289440,20170119
CID0025776,20170119
CID0139479,20161115
CID0188799,20161118
CID0130724,20161117
CID0274013,20161118
CID0095798,20161117
CID0332572,20170928
CID0112201,20170928
CID0056285,20170929
CID0176288,20170928
CID0296595,20170929
CID0232628,20170929
CID0037490,20170927
CID0156255,20170928
CID0360863,20170927
CID0142151,20170929
CID0355187,20170927
CID0231295,20170930
CID0237659,20170927
CID0081431,20170928
CID0169661,20170926
CID0140529,20170926
CID0335569,20170927
CID0146269,20170927
CID0340280,20170926
CID0227145,20170927
CID0365484,20170926
CID0099977,20170928
CID0193223,20170928
CID0342924,20170927
CID0158661,20170928
CID0277971,20170928
CID0377171,20170927
CID0238322,20170928
CID0368457,20170927
CID0231279,20170928
CID0141877,20170928
CID0066177,20170927
CID0097566,20170928
CID0038869,20170926
CID0125239,20170927
CID0265172,20170927
CID0337678,20170927
CID0348252,20170927
CID0232066,20170926
CID0214436,20170926
CID0350109,20170927
CID0220550,20170927
CID0289108,20170929
CID0354659,20170927
CID0089019,20170927
CID0165572,20170927
CID0067496,20170925
CID0036662,20170930
CID0080752,20161116
CID0284486,20161118
CID0133516,20161115
CID0385264,20161116
CID0268910,20161116
CID0209621,20161118
CID0106748,20161117
CID0301960,20161118
CID0265824,20170217
CID0378242,20170218
CID0120144,20170221
CID0224471,20170218
CID0335107,20170218
CID0049714,20170218
CID0208726,20170924
CID0353293,20170218
CID0289339,20170217
CID0062992,20170221
CID0038198,20170217
CID0237050,20170215
CID0098348,20170216
CID0064794,20170215
CID0175354,20170205
CID0331248,20170726
CID0211441,20170722
CID0208202,20170722
CID0211566,20170725
CID0267138,20170721
CID0263555,20170722
CID0008884,20170725
CID0023907,20170721
CID0378228,20170721
CID0244628,20170721
CID0052098,20170722
CID0107500,20170725
CID0111151,20170722
CID0152536,20151012
CID0371094,20151014
CID0171044,20150930
CID0083669,20151009
CID0131991,20151009
CID0199104,20151017
CID0322329,20151014
CID0194249,20151010
CID0350075,20151006
CID0383152,20151010
CID0011064,20151016
CID0082287,20151014
CID0042672,20150930
CID0022113,20151015
CID0104266,20151010
CID0291482,20151009
CID0139794,20151009
CID0363193,20151001
CID0375497,20150928
CID0145372,20160323
CID0097348,20160325
CID0140850,20160329
CID0018036,20160324
CID0037575,20160321
CID0140642,20160329
CID0045898,20160328
CID0087056,20160329
CID0029487,20160330
CID0147724,20160328
CID0248273,20160330
CID0211160,20160330
CID0370173,20160330
CID0254125,20160330
CID0093902,20160330
CID0021132,20160331
CID0284552,20160331
CID0125974,20160401
CID0195089,20160331
CID0258383,20160330
CID0194726,20160328
CID0373257,20160329
CID0012490,20160402
CID0262515,20160328
CID0177881,20160406
CID0367668,20160330
CID0091889,20160330
CID0104230,20160330
CID0372556,20160330
CID0319481,20160330
CID0080929,20160402
CID0386476,20160401
CID0108176,20160401
CID0000475,20160329
CID0385151,20150825
CID0009059,20150831
CID0094892,20150825
CID0087264,20150828
CID0367899,20150826
CID0356395,20150828
CID0170583,20150821
CID0348804,20150827
CID0048070,20150906
CID0141657,20150825
CID0252475,20150831
CID0359907,20150827
CID0136127,20150831
CID0149954,20150825
CID0283916,20150825
CID0087749,20150902
CID0114856,20150825
CID0132706,20150826
CID0087780,20150825
CID0203044,20150826
CID0223258,20150827
CID0271147,20150820
CID0116847,20150826
CID0311982,20150828
CID0190781,20150826
CID0324780,20150828
CID0124048,20150828
CID0049924,20150902
CID0211013,20150828
CID0095884,20150826
CID0297922,20150827
CID0273353,20150825
CID0381723,20150828
CID0080202,20150826
CID0051661,20151215
CID0030381,20160331
CID0103133,20160331
CID0352563,20160402
CID0136276,20160330
CID0172455,20160330
CID0309135,20160401
CID0174971,20160331
CID0071544,20160331
CID0317337,20160330
CID0263922,20160402
CID0225147,20160401
CID0159926,20160331
CID0131425,20160401
CID0354394,20160331
CID0328091,20151212
CID0218596,20151211
CID0016816,20151215
CID0193784,20151211
CID0132747,20151212
CID0020784,20151211
CID0102550,20151212
CID0197351,20151212
CID0167295,20151215
CID0164548,20151215
CID0001071,20151212
CID0108980,20151215
CID0218695,20151215
CID0051315,20151215
CID0238573,20151212
CID0254533,20151208
CID0349799,20151208
CID0049479,20151210
CID0056172,20151212
CID0239750,20151208
CID0312052,20151210
CID0047487,20151212
CID0373966,20151210
CID0117179,20151211
CID0360021,20151211
CID0313426,20151210
CID0296583,20151210
CID0269508,20160813
CID0290719,20160823
CID0364492,20160723
CID0264993,20160722
CID0181635,20160720
CID0354598,20160723
CID0200446,20160721
CID0325134,20160730
CID0261486,20160720
CID0355212,20160721
CID0203481,20160721
CID0158179,20160723
CID0316091,20160721
CID0191880,20160720
CID0283647,20160722
CID0001894,20160812
CID0194793,20160817
CID0061639,20160813
CID0070168,20160813
CID0171855,20160816
CID0092644,20160816
CID0367238,20160819
CID0318167,20160813
CID0042142,20160817
CID0385140,20160722
CID0341315,20160722
CID0019210,20160720
CID0268760,20160721
CID0018426,20160720
CID0062663,20160720
CID0310718,20160721
CID0237095,20160720
CID0060606,20160720
CID0039124,20160719
CID0362549,20160722
CID0103785,20160723
CID0262909,20160722
CID0150964,20160723
CID0252626,20160723
CID0178991,20160722
CID0023913,20160719
CID0336707,20160719
CID0251906,20161001
CID0203072,20161001
CID0316435,20161001
CID0147751,20160930
CID0341138,20161001
CID0079092,20161001
CID0122235,20161009
CID0317884,20161001
CID0373069,20161009
CID0039608,20161001
CID0385045,20161010
CID0172593,20161011
CID0284219,20161001
CID0125011,20161001
CID0210488,20161009
CID0189417,20161001
CID0133835,20161001
CID0250014,20161001
CID0038163,20161001
CID0019484,20161001
CID0043214,20161009
CID0014267,20161001
CID0120606,20161010
CID0061550,20161009
CID0057542,20161001
CID0231741,20161009
CID0306798,20161009
CID0208663,20161001
CID0048550,20161001
CID0363625,20161010
CID0180681,20161001
CID0196668,20161001
CID0330806,20161009
CID0222659,20161009
CID0293326,20161001
CID0189647,20161009
CID0147624,20161009
CID0266289,20161001
CID0387633,20161001
CID0345539,20161001
CID0334825,20161001
CID0280989,20161001
CID0104259,20161001
CID0340087,20161001
CID0044282,20161009
CID0281549,20161001
CID0344897,20161001
CID0203139,20161001
CID0123218,20161001
CID0062571,20161009
CID0081397,20160720
CID0153410,20160720
CID0318795,20160722
CID0279316,20160722
CID0367155,20160722
CID0262221,20160723
CID0036261,20160722
CID0278150,20160721
CID0059250,20160720
CID0315641,20160721
CID0198998,20160721
CID0268113,20160721
CID0106040,20160721
CID0162689,20160721
CID0233578,20160726
CID0151266,20160722
